Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,汉川机床厂子校,73,良,颗粒物(PM10),22,95,0.4,6,82,83,4
20200326,18,市监测站,96,良,颗粒物(PM10),24,142,0.5,12,70,55,5
20200326,18,鑫源开发区,91,良,颗粒物(PM10),27,131,0.4,11,71,60,4
20200326,18,南郑大河坎水厂,93,良,颗粒物(PM10),30,136,0.6,18,69,53,7
20200326,20,汉川机床厂子校,49,优,NaN,11,49,0.3,5,86,84,3
20200326,20,市监测站,65,良,颗粒物(PM10),17,79,0.5,9,76,64,13
20200326,20,鑫源开发区,55,良,颗粒物(PM10),14,59,0.3,7,79,69,4
20200326,20,南郑大河坎水厂,61,良,颗粒物(PM10),22,71,0.6,25,60,59,7
20200326,21,汉川机床厂子校,31,优,NaN,10,31,0.3,5,85,84,4
20200326,21,市监测站,52,良,颗粒物(PM10),11,54,0.4,7,77,68,5
20200326,21,鑫源开发区,52,良,颗粒物(PM10),13,53,0.3,7,77,72,6
20200326,21,南郑大河坎水厂,52,良,颗粒物(PM10),12,53,0.6,10,79,63,5
20200327,10,汉川机床厂子校,28,优,NaN,19,25,0.6,19,33,45,9
20200327,10,市监测站,35,优,NaN,24,31,0.7,20,39,47,7
20200327,10,鑫源开发区,33,优,NaN,23,30,0.6,22,30,44,10
20200327,10,南郑大河坎水厂,40,优,NaN,28,NaN,1.0,37,14,32,10
20200327,11,汉川机床厂子校,38,优,NaN,21,38,0.7,23,34,44,23
20200327,11,市监测站,39,优,NaN,17,39,0.6,21,41,44,6
20200327,11,鑫源开发区,38,优,NaN,22,38,0.7,25,28,41,23
20200327,11,南郑大河坎水厂,36,优,NaN,25,35,0.9,37,20,28,8
20200327,12,汉川机床厂子校,42,优,NaN,29,41,0.8,27,35,42,69
20200327,12,市监测站,29,优,NaN,14,29,0.7,24,37,42,8
20200327,12,鑫源开发区,46,优,NaN,19,46,1.0,20,41,39,16
20200327,12,南郑大河坎水厂,39,优,NaN,26,39,0.9,35,21,27,8
20200327,13,汉川机床厂子校,52,良,颗粒物(PM10),26,54,NaN,19,NaN,41,NaN
20200327,13,市监测站,34,优,NaN,18,34,0.7,30,32,40,13
20200327,13,鑫源开发区,34,优,NaN,18,34,0.5,16,46,40,17
20200327,13,南郑大河坎水厂,41,优,NaN,21,41,0.8,28,36,26,7
20200327,14,汉川机床厂子校,38,优,NaN,26,NaN,0.6,NaN,48,42,39
20200327,14,市监测站,31,优,NaN,9,31,0.5,15,49,41,7
20200327,14,鑫源开发区,26,优,NaN,14,26,0.5,12,54,41,10
20200327,14,南郑大河坎水厂,31,优,NaN,16,31,0.7,19,47,28,6
20200327,14,汉川机床厂子校,38,优,NaN,26,NaN,0.6,NaN,48,42,39
20200327,14,市监测站,31,优,NaN,9,31,0.5,15,49,41,7
20200327,14,鑫源开发区,26,优,NaN,14,26,0.5,12,54,41,10
20200327,14,南郑大河坎水厂,31,优,NaN,16,31,0.7,19,47,28,6
20200327,15,汉川机床厂子校,44,优,NaN,19,44,0.5,13,52,43,12
20200327,15,市监测站,23,优,NaN,10,23,0.5,12,57,44,6
20200327,15,鑫源开发区,21,优,NaN,13,21,0.4,10,57,43,5
20200327,15,南郑大河坎水厂,23,优,NaN,10,23,0.7,14,56,31,4
20200327,15,汉川机床厂子校,44,优,NaN,19,44,0.5,13,52,43,12
20200327,15,市监测站,23,优,NaN,10,23,0.5,12,57,44,6
20200327,15,鑫源开发区,21,优,NaN,13,21,0.4,10,57,43,5
20200327,15,南郑大河坎水厂,23,优,NaN,10,23,0.7,14,56,31,4
20200327,16,汉川机床厂子校,22,优,NaN,15,22,0.4,12,52,43,6
20200327,16,市监测站,22,优,NaN,4,16,0.5,9,68,46,5
20200327,16,鑫源开发区,20,优,NaN,7,16,0.4,9,63,45,5
20200327,16,南郑大河坎水厂,21,优,NaN,6,19,0.7,11,66,35,4
20200327,17,汉川机床厂子校,19,优,NaN,6,16,0.4,10,58,45,5
20200327,17,市监测站,20,优,NaN,4,7,0.5,12,61,48,5
20200327,17,鑫源开发区,20,优,NaN,3,10,0.4,9,63,48,6
20200327,17,南郑大河坎水厂,19,优,NaN,5,16,0.7,14,59,40,4
20200330,07,汉川机床厂子校,19,优,NaN,5,8,0.5,6,58,52,4
20200330,07,市监测站,25,优,NaN,17,20,0.6,26,27,25,10
20200330,07,鑫源开发区,19,优,NaN,10,19,0.4,8,45,43,7
20200330,07,南郑大河坎水厂,34,优,NaN,20,34,0.6,47,3,9,9
20200330,08,汉川机床厂子校,18,优,NaN,6,6,0.5,6,57,52,4
20200330,08,市监测站,25,优,NaN,17,23,0.6,38,16,24,11
20200330,08,鑫源开发区,20,优,NaN,14,16,0.4,11,44,43,5
20200330,08,南郑大河坎水厂,46,优,NaN,32,32,0.7,45,12,10,15
20200330,09,汉川机床厂子校,21,优,NaN,7,NaN,0.5,6,66,55,4
20200330,09,市监测站,32,优,NaN,15,32,0.6,33,26,25,11
20200330,09,鑫源开发区,25,优,NaN,17,NaN,0.5,17,40,43,7
20200330,09,南郑大河坎水厂,52,良,细颗粒物(PM2.5),36,40,0.5,31,42,14,10
20200330,09,汉川机床厂子校,21,优,NaN,7,NaN,0.5,6,66,55,4
20200330,09,市监测站,32,优,NaN,15,32,0.6,33,26,25,11
20200330,09,鑫源开发区,25,优,NaN,17,NaN,0.5,17,40,43,7
20200330,09,南郑大河坎水厂,52,良,细颗粒物(PM2.5),36,40,0.5,31,42,14,10
20200330,10,汉川机床厂子校,22,优,NaN,8,12,0.5,7,68,56,4
20200330,10,市监测站,17,优,NaN,11,16,0.5,17,52,28,7
20200330,10,鑫源开发区,16,优,NaN,11,16,0.4,24,38,42,7
20200330,10,南郑大河坎水厂,31,优,NaN,20,31,0.5,15,67,19,5
20200330,10,汉川机床厂子校,22,优,NaN,8,12,0.5,7,68,56,4
20200330,10,市监测站,17,优,NaN,11,16,0.5,17,52,28,7
20200330,10,鑫源开发区,16,优,NaN,11,16,0.4,24,38,42,7
20200330,10,南郑大河坎水厂,31,优,NaN,20,31,0.5,15,67,19,5
20200330,10,汉川机床厂子校,22,优,NaN,8,12,0.5,7,68,56,4
20200330,10,市监测站,17,优,NaN,11,16,0.5,17,52,28,7
20200330,10,鑫源开发区,16,优,NaN,11,16,0.4,24,38,42,7
20200330,10,南郑大河坎水厂,31,优,NaN,20,31,0.5,15,67,19,5
20200330,11,汉川机床厂子校,20,优,NaN,13,NaN,0.5,10,64,57,7
20200330,11,市监测站,21,优,NaN,11,14,0.5,14,66,32,5
20200330,11,鑫源开发区,19,优,NaN,11,17,0.4,16,59,43,6
20200330,11,南郑大河坎水厂,26,优,NaN,18,21,0.4,12,72,26,4
