Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,原169医院,33,优,NaN,14,33,0.5,20,72,86,20
20200326,18,衡阳化工总厂,28,优,NaN,NaN,28,0.4,9,82,86,3
20200326,18,珠晖区环保局,27,优,NaN,NaN,26,0.6,16,86,90,6
20200326,18,市委党校,27,优,NaN,NaN,26,0.5,10,84,89,5
20200326,18,市监测站,31,优,NaN,7,31,0.7,16,78,89,8
20200326,18,真空机电公司,28,优,NaN,NaN,28,0.6,14,79,91,7
20200326,20,原169医院,45,优,NaN,22,45,0.7,39,43,79,11
20200326,20,衡阳化工总厂,24,优,NaN,NaN,24,0.5,20,52,82,3
20200326,20,珠晖区环保局,37,优,NaN,17,37,0.7,34,49,84,9
20200326,20,市委党校,28,优,NaN,NaN,28,0.6,12,68,87,5
20200326,20,市监测站,53,良,颗粒物(PM10),31,56,0.9,23,55,83,8
20200326,20,真空机电公司,46,优,NaN,NaN,46,0.8,29,51,85,7
20200326,21,原169医院,42,优,NaN,29,42,0.7,43,31,72,21
20200326,21,衡阳化工总厂,27,优,NaN,NaN,27,0.5,18,48,76,5
20200326,21,珠晖区环保局,30,优,NaN,17,30,0.7,32,42,78,10
20200326,21,市委党校,27,优,NaN,NaN,27,0.6,13,58,82,6
20200326,21,市监测站,57,良,颗粒物(PM10),36,64,1.0,35,34,75,9
20200326,21,真空机电公司,45,优,NaN,NaN,45,0.8,31,38,77,8
20200327,10,原169医院,11,优,NaN,3,5,0.5,13,34,41,5
20200327,10,衡阳化工总厂,10,优,NaN,NaN,5,0.5,12,31,37,2
20200327,10,珠晖区环保局,10,优,NaN,2,NaN,0.6,18,30,37,6
20200327,10,市委党校,12,优,NaN,NaN,6,0.5,11,36,43,3
20200327,10,市监测站,33,优,NaN,23,NaN,0.6,10,35,40,6
20200327,10,真空机电公司,16,优,NaN,NaN,16,0.6,19,26,42,7
20200327,11,原169医院,12,优,NaN,5,9,0.5,14,36,43,4
20200327,11,衡阳化工总厂,10,优,NaN,NaN,3,0.5,13,29,37,2
20200327,11,珠晖区环保局,10,优,NaN,3,7,0.6,17,30,39,5
20200327,11,市委党校,12,优,NaN,3,8,0.5,11,36,43,3
20200327,11,市监测站,30,优,NaN,21,NaN,0.6,11,34,40,6
20200327,11,真空机电公司,12,优,NaN,NaN,12,0.5,13,32,42,6
20200327,12,原169医院,12,优,NaN,4,7,0.5,13,37,41,4
20200327,12,衡阳化工总厂,11,优,NaN,2,4,0.5,12,34,37,1
20200327,12,珠晖区环保局,10,优,NaN,4,NaN,0.6,20,30,39,5
20200327,12,市委党校,11,优,NaN,5,NaN,0.5,13,35,42,3
20200327,12,市监测站,28,优,NaN,19,NaN,0.6,13,34,40,6
20200327,12,真空机电公司,12,优,NaN,NaN,9,0.5,11,36,40,5
20200327,13,原169医院,13,优,NaN,3,7,0.5,12,39,36,3
20200327,13,衡阳化工总厂,11,优,NaN,2,8,0.5,13,33,34,1
20200327,13,珠晖区环保局,19,优,NaN,5,19,0.6,17,33,36,6
20200327,13,市委党校,16,优,NaN,7,16,0.5,13,36,39,4
20200327,13,市监测站,18,优,NaN,8,18,0.6,12,35,37,6
20200327,13,真空机电公司,12,优,NaN,NaN,6,0.5,10,37,36,5
20200327,14,原169医院,14,优,NaN,1,NaN,0.4,12,43,34,3
20200327,14,衡阳化工总厂,11,优,NaN,2,10,0.4,12,35,30,2
20200327,14,珠晖区环保局,17,优,NaN,3,17,0.5,16,36,31,7
20200327,14,市委党校,13,优,NaN,5,5,0.5,11,39,35,4
20200327,14,市监测站,14,优,NaN,7,14,0.6,10,37,34,6
20200327,14,真空机电公司,13,优,NaN,NaN,11,0.5,10,40,32,5
20200327,14,原169医院,14,优,NaN,1,NaN,0.4,12,43,34,3
20200327,14,衡阳化工总厂,11,优,NaN,2,10,0.4,12,35,30,2
20200327,14,珠晖区环保局,17,优,NaN,3,17,0.5,16,36,31,7
20200327,14,市委党校,13,优,NaN,5,5,0.5,11,39,35,4
20200327,14,市监测站,14,优,NaN,7,14,0.6,10,37,34,6
20200327,14,真空机电公司,13,优,NaN,NaN,11,0.5,10,40,32,5
20200327,15,原169医院,13,优,NaN,2,4,0.5,15,39,36,4
20200327,15,衡阳化工总厂,12,优,NaN,1,12,0.4,12,35,32,2
20200327,15,珠晖区环保局,16,优,NaN,4,16,0.5,18,33,32,6
20200327,15,市委党校,12,优,NaN,4,11,0.5,14,36,35,4
20200327,15,市监测站,19,优,NaN,13,15,0.6,14,33,33,6
20200327,15,真空机电公司,11,优,NaN,NaN,5,0.5,13,35,33,5
20200327,15,原169医院,13,优,NaN,2,4,0.5,15,39,36,4
20200327,15,衡阳化工总厂,12,优,NaN,1,12,0.4,12,35,32,2
20200327,15,珠晖区环保局,16,优,NaN,4,16,0.5,18,33,32,6
20200327,15,市委党校,12,优,NaN,4,11,0.5,14,36,35,4
20200327,15,市监测站,19,优,NaN,13,15,0.6,14,33,33,6
20200327,15,真空机电公司,11,优,NaN,NaN,5,0.5,13,35,33,5
20200327,17,原169医院,13,优,NaN,2,NaN,0.4,16,39,38,4
20200327,17,衡阳化工总厂,13,优,NaN,1,3,0.4,11,40,34,3
20200327,17,珠晖区环保局,12,优,NaN,1,NaN,0.5,16,37,33,5
20200327,17,市委党校,13,优,NaN,1,4,0.4,12,41,37,4
20200327,17,市监测站,13,优,NaN,5,11,0.5,11,39,36,7
20200327,17,真空机电公司,17,优,NaN,NaN,17,0.4,14,38,36,5
20200330,08,原169医院,16,优,NaN,11,NaN,0.5,15,41,42,3
20200330,08,衡阳化工总厂,12,优,NaN,7,9,0.5,18,38,44,4
20200330,08,珠晖区环保局,12,优,NaN,5,NaN,0.6,18,38,40,6
20200330,08,市委党校,15,优,NaN,5,9,0.5,12,47,44,6
20200330,08,市监测站,13,优,NaN,4,13,0.6,23,29,43,9
