Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,经开区环保局,30,优,NaN,21,NaN,0.9,17,86,74,5
20200326,18,高开区环保局,34,优,NaN,14,25,0.7,13,106,75,6
20200326,18,马坡岭,35,优,NaN,20,35,1.0,15,95,85,8
20200326,18,湖南师范大学,31,优,NaN,17,24,0.5,13,97,72,5
20200326,18,雨花区环保局,34,优,NaN,14,NaN,0.6,8,106,79,6
20200326,18,伍家岭,31,优,NaN,12,25,0.4,20,97,66,9
20200326,18,火车新站,29,优,NaN,13,29,0.7,30,90,70,4
20200326,18,天心区环保局,33,优,NaN,15,25,1.3,12,104,76,4
20200326,18,湖南中医药大学,35,优,NaN,13,35,0.6,19,96,85,7
20200326,18,沙坪,30,优,NaN,18,28,0.5,30,93,64,7
20200326,20,经开区环保局,33,优,NaN,23,25,0.9,35,60,78,5
20200326,20,高开区环保局,41,优,NaN,18,41,0.9,32,73,83,6
20200326,20,马坡岭,34,优,NaN,18,34,1.0,31,74,90,8
20200326,20,湖南师范大学,29,优,NaN,18,29,0.6,18,62,78,5
20200326,20,雨花区环保局,32,优,NaN,22,31,0.8,29,67,86,6
20200326,20,伍家岭,52,良,颗粒物(PM10),11,54,0.6,47,40,70,9
20200326,20,火车新站,47,优,NaN,26,47,0.9,46,56,74,5
20200326,20,天心区环保局,47,优,NaN,22,47,1.1,27,68,83,4
20200326,20,湖南中医药大学,47,优,NaN,14,47,0.7,37,60,86,7
20200326,20,沙坪,29,优,NaN,16,29,0.5,25,74,74,7
20200326,21,经开区环保局,36,优,NaN,25,35,1.0,44,47,76,5
20200326,21,高开区环保局,49,优,NaN,20,49,1.0,41,50,82,6
20200326,21,马坡岭,44,优,NaN,20,44,1.0,37,56,88,8
20200326,21,湖南师范大学,35,优,NaN,20,35,0.6,24,54,78,5
20200326,21,雨花区环保局,29,优,NaN,20,28,0.8,23,74,88,5
20200326,21,伍家岭,28,优,NaN,NaN,28,0.5,31,34,70,9
20200326,21,火车新站,40,优,NaN,22,40,0.8,48,56,75,4
20200326,21,天心区环保局,35,优,NaN,22,35,0.5,26,70,86,4
20200326,21,湖南中医药大学,42,优,NaN,14,42,0.7,36,56,81,7
20200326,21,沙坪,27,优,NaN,18,27,0.5,23,75,79,7
20200327,10,经开区环保局,22,优,NaN,15,NaN,0.7,15,29,36,3
20200327,10,高开区环保局,12,优,NaN,NaN,9,0.7,11,36,38,4
20200327,10,马坡岭,11,优,NaN,7,11,0.8,17,31,40,5
20200327,10,湖南师范大学,12,优,NaN,7,8,0.4,10,36,38,4
20200327,10,雨花区环保局,20,优,NaN,14,NaN,0.4,14,33,38,3
20200327,10,伍家岭,11,优,NaN,7,NaN,0.8,15,33,34,7
20200327,10,火车新站,18,优,NaN,12,15,0.7,18,32,37,2
20200327,10,天心区环保局,20,优,NaN,14,NaN,0.8,12,34,38,2
20200327,10,湖南中医药大学,16,优,NaN,6,16,0.6,14,36,37,5
20200327,10,沙坪,26,优,NaN,18,NaN,0.5,21,34,36,6
20200327,11,经开区环保局,18,优,NaN,12,NaN,0.8,16,27,31,3
20200327,11,高开区环保局,12,优,NaN,NaN,8,0.7,10,36,35,4
20200327,11,马坡岭,12,优,NaN,6,12,0.9,19,28,34,5
20200327,11,湖南师范大学,12,优,NaN,7,7,0.4,10,36,35,4
20200327,11,雨花区环保局,20,优,NaN,14,NaN,0.4,16,30,35,3
20200327,11,伍家岭,16,优,NaN,11,NaN,0.7,16,33,32,7
20200327,11,火车新站,23,优,NaN,16,16,0.7,20,31,34,2
20200327,11,天心区环保局,19,优,NaN,13,NaN,0.8,11,34,36,2
20200327,11,湖南中医药大学,16,优,NaN,6,16,0.6,16,35,34,5
20200327,11,沙坪,25,优,NaN,17,NaN,0.5,21,33,32,6
20200327,12,经开区环保局,12,优,NaN,8,NaN,0.7,14,30,28,3
20200327,12,高开区环保局,12,优,NaN,NaN,5,0.6,11,37,36,4
20200327,12,马坡岭,10,优,NaN,4,NaN,0.9,17,32,30,5
20200327,12,湖南师范大学,12,优,NaN,7,NaN,0.4,10,36,35,4
20200327,12,雨花区环保局,15,优,NaN,10,NaN,0.4,15,32,32,4
20200327,12,伍家岭,11,优,NaN,7,NaN,0.7,16,34,32,7
20200327,12,火车新站,20,优,NaN,14,NaN,0.7,18,32,32,2
20200327,12,天心区环保局,16,优,NaN,11,NaN,0.8,11,34,34,2
20200327,12,湖南中医药大学,14,优,NaN,5,14,0.6,17,33,35,5
20200327,12,沙坪,23,优,NaN,16,NaN,0.5,20,36,34,5
20200327,13,经开区环保局,10,优,NaN,7,NaN,0.8,16,29,28,3
20200327,13,高开区环保局,42,优,NaN,29,NaN,0.6,10,41,38,4
20200327,13,马坡岭,10,优,NaN,4,NaN,0.9,20,29,30,5
20200327,13,湖南师范大学,13,优,NaN,6,NaN,0.4,9,39,36,4
20200327,13,雨花区环保局,13,优,NaN,9,NaN,0.5,15,33,32,3
20200327,13,伍家岭,19,优,NaN,13,NaN,0.6,15,35,34,7
20200327,13,火车新站,16,优,NaN,11,15,0.7,17,35,33,2
20200327,13,天心区环保局,15,优,NaN,10,NaN,0.8,11,36,35,2
20200327,13,湖南中医药大学,13,优,NaN,4,10,0.5,15,39,36,5
20200327,13,沙坪,20,优,NaN,14,NaN,0.5,20,40,35,5
20200327,13,经开区环保局,10,优,NaN,7,NaN,0.8,16,29,28,3
20200327,13,高开区环保局,42,优,NaN,29,NaN,0.6,10,41,38,4
20200327,13,马坡岭,10,优,NaN,4,NaN,0.9,20,29,30,5
20200327,13,湖南师范大学,13,优,NaN,6,NaN,0.4,9,39,36,4
20200327,13,雨花区环保局,13,优,NaN,9,NaN,0.5,15,33,32,3
20200327,13,伍家岭,19,优,NaN,13,NaN,0.6,15,35,34,7
20200327,13,火车新站,16,优,NaN,11,15,0.7,17,35,33,2
20200327,13,天心区环保局,15,优,NaN,10,NaN,0.8,11,36,35,2
20200327,13,湖南中医药大学,13,优,NaN,4,10,0.5,15,39,36,5
20200327,13,沙坪,20,优,NaN,14,NaN,0.5,20,40,35,5
20200327,14,经开区环保局,11,优,NaN,6,NaN,0.7,15,33,30,3
20200327,14,高开区环保局,39,优,NaN,27,NaN,0.6,9,45,39,4
20200327,14,马坡岭,12,优,NaN,4,NaN,0.8,15,38,32,5
20200327,14,湖南师范大学,14,优,NaN,7,NaN,0.4,8,44,38,4
20200327,14,雨花区环保局,14,优,NaN,6,NaN,0.4,11,42,34,3
20200327,14,伍家岭,13,优,NaN,8,NaN,0.4,12,40,35,6
20200327,14,火车新站,14,优,NaN,6,8,0.6,14,43,35,2
20200327,14,天心区环保局,14,优,NaN,9,NaN,0.7,9,43,36,2
20200327,14,湖南中医药大学,14,优,NaN,4,10,0.5,14,43,38,5
20200327,14,沙坪,16,优,NaN,11,NaN,0.4,18,43,37,5
20200327,15,经开区环保局,12,优,NaN,5,NaN,0.6,14,37,31,3
20200327,15,高开区环保局,35,优,NaN,24,NaN,0.6,9,44,40,4
20200327,15,马坡岭,13,优,NaN,4,NaN,0.8,16,41,33,5
