Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,德宏州监测站,53,良,颗粒物(PM10),23,56,0.8,20,135,99,3
20200326,18,芒市建设局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,18,芒市人民政府综合楼(启用200103),44,优,NaN,25,44,1.1,22,2,11,17
20200326,18,芒市人民政府综合楼,64,良,细颗粒物(PM2.5),46,59,0.8,19,152,124,9
20200326,20,德宏州监测站,95,良,颗粒物(PM10),24,139,1.0,47,NaN,120,3
20200326,20,芒市建设局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,20,芒市人民政府综合楼(启用200103),44,优,NaN,25,44,1.1,22,2,11,17
20200326,20,芒市人民政府综合楼,67,良,细颗粒物(PM2.5),48,74,1.0,27,122,142,8
20200326,21,德宏州监测站,74,良,颗粒物(PM10),34,98,1.2,56,NaN,127,5
20200326,21,芒市建设局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,21,芒市人民政府综合楼(启用200103),44,优,NaN,25,44,1.1,22,2,11,17
20200326,21,芒市人民政府综合楼,85,良,细颗粒物(PM2.5),63,92,1.2,32,96,140,11
20200327,10,德宏州监测站,76,良,颗粒物(PM10),46,101,1.2,43,15,3,16
20200327,10,芒市建设局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,10,芒市人民政府综合楼(启用200103),44,优,NaN,25,44,1.1,22,2,11,17
20200327,10,芒市人民政府综合楼,104,轻度污染,细颗粒物(PM2.5),78,100,1.4,55,24,45,16
20200327,11,德宏州监测站,85,良,颗粒物(PM10),49,120,1.2,43,32,7,20
20200327,11,芒市建设局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,11,芒市人民政府综合楼(启用200103),44,优,NaN,25,44,1.1,22,2,11,17
20200327,11,芒市人民政府综合楼,109,轻度污染,细颗粒物(PM2.5),82,107,1.3,41,65,45,16
20200327,12,德宏州监测站,83,良,颗粒物(PM10),41,115,1.2,45,49,13,15
20200327,12,芒市建设局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,12,芒市人民政府综合楼(启用200103),44,优,NaN,25,44,1.1,22,2,11,17
20200327,12,芒市人民政府综合楼,99,良,细颗粒物(PM2.5),74,99,1.2,43,94,49,18
20200327,13,德宏州监测站,80,良,颗粒物(PM10),40,109,1.1,33,84,23,7
20200327,13,芒市建设局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,13,芒市人民政府综合楼(启用200103),44,优,NaN,25,44,1.1,22,2,11,17
20200327,13,芒市人民政府综合楼,90,良,细颗粒物(PM2.5),67,95,1.0,30,142,60,14
20200327,13,德宏州监测站,80,良,颗粒物(PM10),40,109,1.1,33,84,23,7
20200327,13,芒市建设局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,13,芒市人民政府综合楼(启用200103),44,优,NaN,25,44,1.1,22,2,11,17
20200327,13,芒市人民政府综合楼,90,良,细颗粒物(PM2.5),67,95,1.0,30,142,60,14
20200327,14,德宏州监测站,72,良,颗粒物(PM10),32,93,1.0,26,109,36,7
20200327,14,芒市建设局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
